,Director Name,Title,Budget,Box Office,Rating,Number of Ratings,Genre,Date of Release,Production House,Runtime,MPAA Rating
6859,D.W. Griffith,A Summer Idyll,0.0,0.0,0.0,0.0,,1910-09-05,American Mutoscope & Biograph,17.0,
6860,D.W. Griffith,Little Angels of Luck,0.0,0.0,0.0,0.0,,1910-09-08,American Mutoscope & Biograph,17.0,
6861,D.W. Griffith,A Mohawk's Way,0.0,0.0,0.0,0.0,,1910-09-12,American Mutoscope & Biograph,17.0,
6862,D.W. Griffith,The Iconoclast,0.0,0.0,0.0,0.0,,1910-10-03,American Mutoscope & Biograph,17.0,
6863,D.W. Griffith,Examination Day at School,0.0,0.0,0.0,0.0,,1910-09-29,American Mutoscope & Biograph,17.0,
6864,D.W. Griffith,That Chink at Golden Gulch,0.0,0.0,5.0,1.0,,1910-10-10,American Mutoscope & Biograph,15.0,
6865,D.W. Griffith,The Broken Doll,0.0,0.0,0.0,0.0,,1910-10-17,American Mutoscope & Biograph,15.0,
6866,D.W. Griffith,Bobby the Coward,0.0,0.0,0.0,0.0,,1911-07-13,American Mutoscope & Biograph,18.0,
6867,D.W. Griffith,A Timely Interception,0.0,0.0,4.8,2.0,Drama,1913-06-07,American Mutoscope & Biograph,17.0,NR
6868,D.W. Griffith,The God Within,0.0,0.0,0.0,0.0,Drama,1912-12-26,American Mutoscope & Biograph,17.0,NR
6869,D.W. Griffith,Love in the Hills,0.0,0.0,0.0,0.0,,1911-10-30,American Mutoscope & Biograph,18.0,
6870,D.W. Griffith,The Failure,0.0,0.0,4.0,1.0,,1911-12-07,American Mutoscope & Biograph,18.0,
6871,D.W. Griffith,A Woman Scorned,0.0,0.0,0.0,0.0,,1911-11-30,American Mutoscope & Biograph,18.0,
6872,D.W. Griffith,The Last Deal,0.0,0.0,0.0,0.0,,1910-01-27,American Mutoscope & Biograph,11.0,
6873,D.W. Griffith,The Lady and the Mouse,0.0,0.0,0.0,0.0,Drama,1913-04-26,American Mutoscope & Biograph,17.0,NR
6874,D.W. Griffith,Two Daughters of Eve,0.0,0.0,0.0,0.0,Drama,1912-09-19,Biograph Company,18.0,NR
6875,D.W. Griffith,In the Aisles of the Wild,0.0,0.0,0.0,0.0,Drama,1912-10-14,Biograph Company,17.0,NR
6876,D.W. Griffith,Gold and Glitter,0.0,0.0,0.0,0.0,Drama,1912-11-11,,17.0,NR
6877,D.W. Griffith,A Cry for Help,0.0,0.0,0.0,0.0,Drama,1912-12-23,Biograph Company,17.0,NR
6878,D.W. Griffith,A Misunderstood Boy,0.0,0.0,0.0,0.0,Drama,1913-04-19,Biograph Company,17.0,NR
6879,D.W. Griffith,The Left-Handed Man,0.0,0.0,0.0,0.0,Drama,1913-04-21,Biograph Company,10.0,NR
6880,D.W. Griffith,Just Gold,0.0,0.0,0.0,0.0,Drama,1913-05-24,Biograph Company,17.0,NR
6881,D.W. Griffith,Madonna of the Storm,0.0,0.0,0.0,0.0,Drama,1913-10-25,Biograph Company,10.0,NR
6882,D.W. Griffith,The Conscience of Hassan Bey,0.0,0.0,0.0,0.0,Drama,1913-12-20,Biograph Company,10.0,NR
6883,D.W. Griffith,The Children's Friend,0.0,0.0,0.0,0.0,,1909-10-23,,4.0,
6884,D.W. Griffith,"Wanted, a Child",0.0,0.0,0.0,0.0,,1909-09-30,,3.0,
6885,D.W. Griffith,A Sweet Revenge,0.0,0.0,0.0,0.0,Drama,1909-11-18,American Mutoscope & Biograph,5.0,NR
6886,D.W. Griffith,His Last Dollar,0.0,0.0,0.0,0.0,,1910-03-31,,2.0,
6887,D.W. Griffith,Conscience,0.0,0.0,0.0,0.0,,1911-03-09,,17.0,
6888,D.W. Griffith,A Siren of Impulse,0.0,0.0,0.0,0.0,,1912-04-14,,17.0,
6889,D.W. Griffith,Pranks,0.0,0.0,0.0,0.0,Comedy,1909-08-30,Biograph-Film,4.0,
6890,D.W. Griffith,The Birth of a Nation,100000.0,11000000.0,6.034,486.0,Drama,1915-02-08,Epoch Film Co.,193.0,
6891,D.W. Griffith,Her Awakening,0.0,0.0,0.0,0.0,Drama,1911-09-28,Biograph Company,18.0,NR
6892,D.W. Griffith,That Royle Girl,0.0,0.0,0.0,0.0,,1925-12-07,Paramount,114.0,
